name,type,supertype,domain,tags
Party Favors,Spell,,Calm,
Peak Guardian,Unit,,Order,Mount Targon
Petty Officer,Unit,,Order,Pirate || Bilgewater
Piercing Light,Spell,,Fury,
Pirate's Haven,Gear,,Body,
Pit Crew,Unit,,Mind,Bandle City
Pit Rookie,Unit,,Body,Bilgewater
Playful Phantom,Unit,,Calm,Spirit || Shadow Isles
Needlessly Large Yordle,Unit,,Calm,Yordle || Bandle City
Mistfall,Gear,,Body,
Mobilize,Spell,,Body,
Monastery of Hirana,Battlefield,,Colorless,
Morbid Return,Spell,,Chaos,
Mountain Drake,Unit,,Body,Dragon
Mushroom Pouch,Gear,,Mind,
Mystic Poro,Unit,,Chaos,Poro
Mystic Reversal,Spell,,Calm,
Navori Fighting Pit,Battlefield,,Colorless,
Lecturing Yordle,Unit,,Mind,Yordle || Bandle City
Nine-Tailed Fox,Legend,,Calm || Mind,Ahri
Nine-Tailed Fox,Legend,,Calm || Mind,Ahri
Nine-Tailed Fox,Legend,,Calm || Mind,Ahri
"Nocturne, Horrifying",Unit,Champion,Chaos,Nocturne
Not So Fast,Spell,,Calm,
Noxian Drummer,Unit,,Order,Trifarian || Noxus
Noxian Guillotine,Spell,Signature,Fury || Order,Darius
Noxus Hopeful,Unit,,Fury,Trifarian || Noxus
Noxus Saboteur,Unit,,Fury,Trifarian || Noxus
Herald of the Arcane,Legend,,Mind || Order,Viktor
Guerilla Warfare,Spell,Signature,Mind || Chaos,Teemo
Gust,Spell,,Chaos,
Hallowed Tomb,Battlefield,,Colorless,
Hand of Noxus,Legend,,Fury || Order,Darius
Hand of Noxus,Legend,,Fury || Order,Darius
Hand of Noxus,Legend,,Fury || Order,Darius
Hard Bargain,Spell,,Chaos,
Harnessed Dragon,Unit,,Order,Dragon || Demacia
"Heimerdinger, Inventor",Unit,Champion,Mind,Yordle || Heimerdinger || Piltover
Herald of Scales,Unit,,Body,Mount Targon
Guardian of the Passage,Unit,,Calm,Spirit || Shadow Isles
Herald of the Arcane,Legend,,Mind || Order,Viktor
Herald of the Arcane,Legend,,Mind || Order,Viktor
Here to Help,Spell,,Body,
Hextech Anomaly,Gear,,Mind,
Hextech Ray,Spell,,Fury,
Hidden Blade,Spell,,Order,
Highlander,Spell,Signature,Calm || Body,Master Yi
Honest Broker,Unit,,Order,Ionia
Icathian Rain,Spell,Signature,Fury || Mind,Kai'Sa
Glasc Mixologist,Unit,,Order,Zaun
Fury Rune,Rune,Basic,Fury,
Fury Rune,Rune,Basic,Fury,
Garbage Grabber,Gear,,Mind,
"Garen, Commander",Unit,Champion,Order,Elite || Garen || Demacia
"Garen, Rugged",Unit,Champion,Body,Elite || Garen || Demacia
Gem Jammer,Unit,,Fury,Mech || Bandle City
Gemcraft Seer,Unit,,Mind,Mount Targon
Gentlemen's Duel,Spell,,Body,
Get Excited!,Spell,,Fury,
Immortal Phoenix,Unit,,Fury,Spirit
Glorious Executioner,Legend,,Fury || Chaos,Draven
Glorious Executioner,Legend,,Fury || Chaos,Draven
Gold,Gear,Token,Colorless,
Grand Duelist,Legend,,Body || Order,Fiora
Grand Duelist,Legend,,Body || Order,Fiora
Grand Strategem,Spell,,Order,
Grandmaster at Arms,Legend,,Calm || Body,Jax
Grove of the God-Willow,Battlefield,,Colorless,
Guardian Angel,Gear,,Calm,Equipment
Kato the Arm,Unit,,Body,Noxus
"Jinx, Demolitionist",Unit,Champion,Fury,Jinx || Zaun
"Jinx, Rebel",Unit,Champion,Chaos,Jinx || Zaun
"Jinx, Rebel",Unit,Champion,Chaos,Jinx || Zaun
Kadregrin the Infernal,Unit,,Fury,Dragon || Demacia
"Kai'Sa, Evolutionary",Unit,Champion,Mind,Kai'Sa || The Void
"Kai'Sa, Evolutionary",Unit,Champion,Mind,Kai'Sa || The Void
"Kai'Sa, Survivor",Unit,Champion,Fury,Kai'Sa || The Void
"Kai'Sa, Survivor",Unit,Champion,Fury,Kai'Sa || The Void
"Karma, Channeler",Unit,Champion,Order,Vi || Ionia
"Karthus, Eternal",Unit,Champion,Order,Spirit || Karthus || Shadow Isles
"Jinx, Demolitionist",Unit,Champion,Fury,Jinx || Zaun
"Kayn, Unleashed",Unit,Champion,Chaos,Kayn || Ionia
King's Edict,Spell,,Order,
Kinkou Monk,Unit,,Body,Ionia
"Kog'Maw, Caustic",Unit,Champion,Chaos,Kog'Maw || The Void
Kraken Hunter,Unit,,Body,Pirate || Bilgewater
Lady of Luminosity - Starter,Legend,Champion,Mind || Order,Lux
Last Breath,Spell,Signature,Calm || Chaos,Yasuo
Last Rites,Gear,,Chaos,Equipment
Last Stand,Spell,,Calm,
Iron Ballista,Gear,,Fury,
Imperial Decree,Spell,,Order,
Incinerate,Spell,,Fury,
Invert Timelines,Spell,,Chaos,
"Irelia, Fervent",Unit,Champion,Calm,Irelia || Ionia
"Irelia, Fervent",Unit,Champion,Calm,Irelia || Ionia
"Irelia, Fervent",Unit,Champion,Calm,Irelia || Ionia
"Irelia, Fervent",Unit,Champion,Calm,Irelia || Ionia
"Irelia, Graceful",Unit,Champion,Chaos,Irelia || Ionia
"Irelia, Graceful",Unit,Champion,Chaos,Irelia || Ionia
Acceptable Losses,Spell,,Chaos,
Jae Medarda,Unit,,Chaos,Noxus
"Janna, Savior",Unit,Champion,Calm,Janna || Zaun
Jaull-Fish,Unit,,Body,Bilgewater
"Jax, Unmatched",Unit,Champion,Calm,Jax || Icathia
"Jax, Unmatched",Unit,Champion,Calm,Jax || Icathia
"Jax, Unrelenting",Unit,Champion,Body,Jax || Icathia
"Jax, Unrelenting",Unit,Champion,Body,Jax || Icathia
"Jayce, Man of Progress",Unit,Champion,Mind,Jayce || Piltover
Jeweled Colossus,Unit,,Mind,Mount Targon
